epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,881.669,0.37062,0.50273,0.51134,0.90202,0.52333,0.72957,0.65482,0.58436,0.52333,0.72957,0.65482,0.60192,0.44739,0.84622,1.18014,1.06525,0.00051575,0.00051575,0.00051575
91,890.685,0.34605,0.45023,0.47224,0.88184,0.64534,0.6849,0.68984,0.62484,0.64534,0.6849,0.6925,0.63445,0.44254,0.88019,1.1904,1.05164,0.0005075,0.0005075,0.0005075
92,899.649,0.3484,0.42073,0.49662,0.89698,0.67068,0.70636,0.66898,0.62201,0.67068,0.70636,0.67458,0.62474,0.46326,0.7565,1.21792,1.05124,0.00049925,0.00049925,0.00049925
93,908.794,0.36213,0.45632,0.47244,0.89173,0.64326,0.68456,0.66577,0.61073,0.64326,0.68456,0.674,0.6276,0.4469,0.69397,1.16332,1.02813,0.000491,0.000491,0.000491
94,917.76,0.31398,0.43745,0.44842,0.86627,0.67366,0.63482,0.67787,0.61647,0.67366,0.63482,0.67995,0.62034,0.44415,0.71807,1.18551,1.0304,0.00048275,0.00048275,0.00048275
95,926.706,0.33278,0.38641,0.47139,0.8967,0.57615,0.75797,0.71639,0.65061,0.57615,0.75797,0.7203,0.66591,0.45492,0.73636,1.1294,1.08124,0.0004745,0.0004745,0.0004745
96,935.651,0.32304,0.40634,0.4331,0.87841,0.64382,0.73428,0.70814,0.64575,0.64382,0.73428,0.7104,0.66031,0.48041,0.78187,1.23439,1.0855,0.00046625,0.00046625,0.00046625
97,944.611,0.33334,0.38788,0.44426,0.88209,0.62007,0.65832,0.65905,0.60489,0.62007,0.65832,0.66015,0.61193,0.43779,0.8239,1.30967,1.05067,0.000458,0.000458,0.000458
98,953.56,0.34167,0.4371,0.44303,0.88311,0.53743,0.71889,0.63577,0.58652,0.53743,0.71889,0.63991,0.59142,0.46338,0.81357,1.29791,1.09033,0.00044975,0.00044975,0.00044975
99,962.552,0.32853,0.44164,0.44173,0.87437,0.61127,0.66558,0.66798,0.6138,0.61127,0.66558,0.66798,0.61887,0.4311,0.7488,1.17078,1.05119,0.0004415,0.0004415,0.0004415
100,971.622,0.32366,0.43097,0.41656,0.89032,0.53292,0.80265,0.68685,0.63507,0.53292,0.80265,0.68958,0.63578,0.42416,0.79266,1.24298,1.05901,0.00043325,0.00043325,0.00043325
101,980.884,0.31897,0.44049,0.43715,0.87266,0.57124,0.69707,0.66029,0.59702,0.57124,0.69707,0.66029,0.60754,0.4309,0.8273,1.24875,1.05641,0.000425,0.000425,0.000425
102,990.239,0.32171,0.42425,0.42062,0.88136,0.60012,0.68581,0.69535,0.63831,0.60012,0.68581,0.69535,0.64085,0.41225,0.81168,1.12888,1.03146,0.00041675,0.00041675,0.00041675
103,1000.46,0.33322,0.41893,0.45054,0.87835,0.63114,0.65119,0.681,0.61654,0.63114,0.65119,0.681,0.62373,0.45554,0.88267,1.4223,1.06495,0.0004085,0.0004085,0.0004085
104,1009.87,0.32903,0.42316,0.41316,0.8772,0.59834,0.70414,0.68083,0.62527,0.59834,0.70414,0.68083,0.62566,0.44366,0.85068,1.25061,1.05899,0.00040025,0.00040025,0.00040025
105,1019.1,0.29826,0.38378,0.40697,0.86379,0.58712,0.75683,0.6604,0.59842,0.58712,0.75683,0.6604,0.61468,0.43513,0.73605,1.1446,1.06583,0.000392,0.000392,0.000392
106,1028.09,0.31266,0.40582,0.38276,0.85922,0.63783,0.64189,0.65467,0.59172,0.63783,0.64189,0.65467,0.60574,0.45962,0.7132,1.25896,1.1157,0.00038375,0.00038375,0.00038375
107,1037.03,0.32008,0.39108,0.42612,0.88609,0.61666,0.7573,0.68249,0.62404,0.61666,0.7573,0.6872,0.64675,0.45242,0.71186,1.20703,1.08894,0.0003755,0.0003755,0.0003755
108,1046.1,0.31941,0.41642,0.44174,0.88816,0.56409,0.80975,0.63854,0.57346,0.56409,0.80975,0.63854,0.59138,0.44493,0.75408,1.25268,1.08955,0.00036725,0.00036725,0.00036725
109,1055.01,0.31422,0.42053,0.39914,0.87115,0.65059,0.66937,0.61818,0.57021,0.65059,0.66937,0.61818,0.57308,0.47184,0.80119,1.31018,1.11175,0.000359,0.000359,0.000359
110,1063.93,0.30281,0.37825,0.39435,0.86929,0.62389,0.7081,0.64848,0.60651,0.62389,0.7081,0.64848,0.60659,0.45119,0.73046,1.13666,1.1051,0.00035075,0.00035075,0.00035075
111,1072.99,0.30546,0.42501,0.3694,0.86467,0.61665,0.73902,0.68581,0.63639,0.61665,0.73902,0.6876,0.63941,0.43107,0.69824,1.1074,1.09124,0.0003425,0.0003425,0.0003425
